,code,name,ind_code,ind
690,14790,한라,64102,토목 건설업
234,14820,동원시스템즈,32202,플라스틱제품 제조업
492,14830,유니드,32001,기초 화학물질 제조업
373,14910,성문전자,32602,전자부품 제조업
521,14990,인디에프,31401,봉제의복 제조업
514,15020,이스타코,126801,부동산 임대 및 공급업
193,15230,대창단조,33003,자동차 신품 부품 제조업
452,15260,에이엔피,32602,전자부품 제조업
308,15350,부산도시가스,43502,연료용 가스 제조 및 배관공급업
471,15360,예스코홀딩스,116409,기타 금융업
424,15540,쎌마테라퓨틱스,147509,기타 사업지원 서비스업
611,15590,큐로,32901,일반 목적용 기계 제조업
669,15760,한국전력공사,43501,전기업
539,15860,일진홀딩스,116409,기타 금융업
618,15890,태경산업,32001,기초 화학물질 제조업
203,16090,대현,31401,봉제의복 제조업
333,16360,삼성증권,116601,금융 지원 서비스업
41,16380,KG동부제철,32401,1차 철강 제조업
701,16450,한세예스24홀딩스,31401,봉제의복 제조업
775,16580,환인제약,32102,의약품 제조업
399,16590,신대양제지,31702,"골판지, 종이 상자 및 종이용기 제조업"
13,16610,DB금융투자,116601,금융 지원 서비스업
